"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"4-8-XsRB:16";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";22.5;17.7;4.3;86;0.086;0.0114666666666667;NA;"xx";"4-8-XsRB:16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:17";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";27.9;22.5;6.3;187;0.187;0.0201075268817204;NA;"xx";"4-8-XsRB:17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:18";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";26.3;22.1;7.4;242;0.242;0.0276045627376426;NA;"xx";"4-8-XsRB:18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:19";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";25.6;21;5.2;153;0.153;0.0179296875;NA;"xx";"4-8-XsRB:19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:20";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";31.5;25.7;7.5;315;0.315;0.03;NA;"xx";"4-8-XsRB:20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:21";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";19.5;16.5;4.2;84;0.084;0.0129230769230769;NA;"xx";"4-8-XsRB:21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:22";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";30.6;24.4;6.9;287;0.287;0.0281372549019608;NA;"xx";"4-8-XsRB:22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:23";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";23.8;19.3;5.2;98;0.098;0.0123529411764706;NA;"xx";"4-8-XsRB:23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:24";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";17.3;15.2;4.2;54;0.054;0.00936416184971098;NA;"xx";"4-8-XsRB:24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:25";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";25.6;19.5;4.9;118;0.118;0.013828125;NA;"xx";"4-8-XsRB:25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:26";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";25.4;20.8;5.6;166;0.166;0.0196062992125984;NA;"xx";"4-8-XsRB:26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:27";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";19.5;16.6;3.7;73;0.073;0.0112307692307692;NA;"xx";"4-8-XsRB:27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:28";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus marginatus";26.9;18.3;4.4;98;0.098;0.0109293680297398;NA;"xx";"4-8-XsRB:28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:29";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";23.4;18.8;6.5;179;0.179;0.0229487179487179;NA;"xx";"4-8-XsRB:29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-8-XsRB:30";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";22.6;17.9;5.9;127;0.127;0.016858407079646;NA;"xx";"4-8-XsRB:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD4-8-1";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";35.1;21.2;9.4;343;0.343;0.0293162393162393;NA;"th";"AD4-8-1";"AD4-8-1";"1";"AD4-8-1";"1";NA;NA;NA;NA;NA;NA;NA;NA;0.927;0.9321;0.928;0.0051;0.001;0.8039215686;80.39215686;0.9062;0.9266;0.9101;0.0204;0.0039;0.8088235294;80.88235294;NA
"AD4-8-2";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Astyanax bimaculatus";48.8;38.6;13.5;970;0.97;0.0596311475409836;NA;"th";"AD4-8-2";"AD4-8-2";"2";"AD4-8-2";"2";NA;NA;NA;NA;NA;NA;NA;NA;0.9246;0.9406;0.9279;0.016;0.0033;0.79375;79.375;0.9181;0.9537;0.9253;0.0356;0.0072;0.797752809;79.7752809;84.22
"AD4-8-3";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";39.2;27.5;9.4;339;0.339;0.0259438775510204;NA;"th";"AD4-8-3";"AD4-8-3";"3";"AD4-8-3";"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9363;0.9409;0.937;0.0046;7e-04;0.847826087;84.7826087;0.913;0.9326;0.9167;0.0196;0.0037;0.8112244898;81.12244898;86.43
"AD4-8-4";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";38.3;30.5;11.6;462;0.462;0.0361879895561358;NA;"th";"AD4-8-4";"AD4-8-4";"4";"AD4-8-4";"4";NA;NA;NA;NA;NA;NA;NA;NA;0.9262;0.9449;0.9297;0.0187;0.0035;0.8128342246;81.28342246;0.9039;0.9342;0.9099;0.0303;0.006;0.801980198;80.1980198;72.4
"AD4-8-5";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";35.2;27;9.6;258;0.258;0.0219886363636364;NA;"th";"AD4-8-5";"AD4-8-5";"5";"AD4-8-5";"5";NA;NA;NA;NA;NA;NA;NA;NA;0.9149;0.9195;0.9154;0.0046;5e-04;0.8913043478;89.13043478;0.9274;0.9507;0.9315;0.0233;0.0041;0.8240343348;82.40343348;78.59
"AD4-8-6";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Astyanax bimaculatus";30.5;26.1;7.7;242;0.242;0.0238032786885246;NA;"th";"AD4-8-6";"AD4-8-6";"6";"AD4-8-6";"6";NA;NA;NA;NA;NA;NA;NA;NA;0.918;0.9267;0.9197;0.0087;0.0017;0.8045977011;80.45977011;0.9118;0.928;0.9144;0.0162;0.0026;0.8395061728;83.95061728;NA
"AD4-8-7";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";32.6;21.6;9.3;260;0.26;0.0239263803680982;NA;"th";"AD4-8-7";"AD4-8-7";"7";"AD4-8-7";"7";NA;NA;NA;NA;NA;NA;NA;NA;0.9154;0.922;0.9165;0.0066;0.0011;0.8333333333;83.33333333;0.9126;0.9313;0.9162;0.0187;0.0036;0.807486631;80.7486631;85.17
"AD4-8-8";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";31.5;23.1;8.5;197;0.197;0.0187619047619048;NA;"th";"AD4-8-8";"AD4-8-8";"8";"AD4-8-8";"8";NA;NA;NA;NA;NA;NA;NA;NA;0.9225;0.9289;0.9238;0.0064;0.0013;0.796875;79.6875;0.9263;0.9435;0.9291;0.0172;0.0028;0.8372093023;83.72093023;91.19
"AD4-8-9";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";23.1;16;7.2;115;0.115;0.0149350649350649;NA;"th";"AD4-8-9";"AD4-8-9";"9";"AD4-8-9";"9";NA;NA;NA;NA;NA;NA;NA;NA;0.9085;0.9132;0.9092;0.0047;7e-04;0.8510638298;85.10638298;0.9195;0.9305;0.9208;0.011;0.0013;0.8818181818;88.18181818;NA
"AD4-8-10";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";34.3;22.1;7.9;251;0.251;0.0219533527696793;NA;"th";"AD4-8-10";"AD4-8-10";"10";"AD4-8-10";"10";NA;NA;NA;NA;NA;NA;NA;NA;0.9315;0.9361;0.9322;0.0046;7e-04;0.847826087;84.7826087;0.9229;0.9438;0.927;0.0209;0.0041;0.8038277512;80.38277512;138.44
"AD4-8-11";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";27.1;23;8.8;258;0.258;0.0285608856088561;NA;"th";"AD4-8-11";"AD4-8-11";"11";"AD4-8-11";"11";NA;NA;NA;NA;NA;NA;NA;NA;0.9018;0.9074;0.9027;0.0056;9e-04;0.8392857143;83.92857143;0.9154;0.9299;0.9179;0.0145;0.0025;0.8275862069;82.75862069;97.31
"AD4-8-12";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";34;27;9;294;0.294;0.0259411764705882;NA;"th";"AD4-8-12";"AD4-8-12";"12";"AD4-8-12";"12";NA;NA;NA;NA;NA;NA;NA;NA;0.9336;0.9411;0.9347;0.0075;0.0011;0.8533333333;85.33333333;0.9405;0.9541;0.9427;0.0136;0.0022;0.8382352941;83.82352941;90.9
"AD4-8-13";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus unilineatus";33.3;24.2;7.4;120;0.12;0.0108108108108108;NA;"th";"AD4-8-13";"AD4-8-13";"13";"AD4-8-13";"13";NA;NA;NA;NA;NA;NA;NA;NA;0.9176;0.927;0.9194;0.0094;0.0018;0.8085106383;80.85106383;0.9344;0.9499;0.9368;0.0155;0.0024;0.8451612903;84.51612903;NA
"AD4-8-X:1";"B-P08";"Barro Branco";"BarroBranco2";"Ponto8";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;8;4;"Hemigrammus rodwayi";28.6;24.5;6.8;277;0.277;0.0290559440559441;NA;"xx";"AD4-8-X:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-70";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";24.8;19.9;5.6;122;0.122;0.014758064516129;NA;"rd";"4-9-70";"4-9-70";"P70";"4-9-70";"P70";1.1155;1.1205;5.00000000000012;484400;393006;476772;451392.666666667;90278.5333333313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-71";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";35.6;27.9;8.9;385;0.385;0.0324438202247191;NA;"rd";"4-9-71";"4-9-71";"P71";"4-9-71";"P71";0.9356;0.9552;19.6000000000001;593888;678599;606241;626242.666666667;31951.1564625849;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-72";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";29.8;22.7;7.4;224;0.224;0.0225503355704698;NA;"rd";"4-9-72";"4-9-72";"P72";"4-9-72";"P72";0.9037;0.9082;4.50000000000006;376169;383916;400419;386834.666666667;85963.2592592581;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-73";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";53;42.1;12.2;1124;1.124;0.063622641509434;NA;"rd";"4-9-73";"4-9-73";"P73";"4-9-73";"P73";0.9146;0.943;28.4;893633;1013599;965994;957742;33723.3098591549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-74";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";35.7;28.5;9.6;396;0.396;0.0332773109243698;NA;"rd";"4-9-74";"4-9-74";"P74";"4-9-74";"P74";1.1163;1.1286;12.3;421099;493693;432448;449080;36510.5691056911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-75";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";32.1;25.4;8.2;309;0.309;0.0288785046728972;NA;"rd";"4-9-75";"4-9-75";"P75";"4-9-75";"P75";0.9174;0.9355;18.1;498145;536628;509565;514779.333333333;28440.847145488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-76";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";31.6;24.8;9.4;335;0.335;0.0318037974683544;NA;"rd";"4-9-76";"4-9-76";"P76";"4-9-76";"P76";1.1106;1.1183;7.70000000000004;484136;473701;50968;336268.333333333;43671.2121212119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-77";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax bimaculatus";28.9;23;7.5;281;0.281;0.0291695501730104;NA;"rd";"4-9-77";"4-9-77";"P77";"4-9-77";"P77";0.8996;0.9084;8.80000000000003;747847;832798;841937;807527.333333333;91764.4696969694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-78";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";24.3;19.3;5.8;122;0.122;0.0150617283950617;NA;"rd";"4-9-78";"4-9-78";"P78";"4-9-78";"P78";0.9131;0.9153;2.19999999999998;211061;266931;185551;221181;100536.818181819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-79";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";35.5;27.3;8.5;415;0.415;0.0350704225352113;NA;"rd";"4-9-79";"4-9-79";"P79";"4-9-79";"P79";1.1022;1.1129;10.6999999999999;546217;567141;511162;541506.666666667;50608.0996884738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-80";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";28.4;21;6.3;143;0.143;0.0151056338028169;NA;"rd";"4-9-80";"4-9-80";"P80";"4-9-80";"P80";1.1003;1.1067;6.39999999999996;301065;390338;285333;325578.666666667;50871.666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-81";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";32.6;24.8;7.4;239;0.239;0.0219938650306748;NA;"rd";"4-9-81";"4-9-81";"P81";"4-9-81";"P81";0.934;0.9377;3.69999999999993;295814;411775;336074;347887.666666667;94023.6936936956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-82";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";26.5;22.9;7.5;208;0.208;0.0235471698113208;NA;"rd";"4-9-82";"4-9-82";"P82";"4-9-82";"P82";0.9196;0.9232;3.60000000000005;259969;306362;290628;285653;79348.0555555545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-83";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";30.2;23.5;7.4;225;0.225;0.0223509933774834;NA;"rd";"4-9-83";"4-9-83";"P83";"4-9-83";"P83";0.9327;0.9373;4.60000000000005;702042;675830;701219;693030.333333333;150658.76811594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-84";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";35.9;27.7;9.2;351;0.351;0.0293314763231198;NA;"rd";"4-9-84";"4-9-84";"P84";"4-9-84";"P84";0.9295;0.9374;7.90000000000002;240711;295005;320441;285385.666666667;36124.7679324894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-86";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";27.2;21.8;5.8;155;0.155;0.0170955882352941;NA;"rd";"4-9-86";"4-9-86";"P86";"4-9-86";"P86";0.9328;0.936;3.20000000000009;286316;343977;329097;319796.666666667;99936.4583333305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-87";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";27.5;21.7;6.1;173;0.173;0.0188727272727273;NA;"rd";"4-9-87";"4-9-87";"P87";"4-9-87";"P87";1.1354;1.1401;4.69999999999993;226740;254698;231048;237495.333333333;50530.9219858164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-89";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";29.7;23;6.9;224;0.224;0.0226262626262626;NA;"rd";"4-9-89";"4-9-89";"P89";"4-9-89";"P89";0.9313;0.9367;5.39999999999996;314217;328222;306339;316259.333333333;58566.543209877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-90";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.7;21.2;6.2;171;0.171;0.0185198555956679;NA;"rd";"4-9-90";"4-9-90";"P90";"4-9-90";"P90";0.9305;0.9378;7.29999999999997;470057;512114;464840;482337;66073.5616438359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-91";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";33.3;26.1;8.7;328;0.328;0.0295495495495496;NA;"rd";"4-9-91";"4-9-91";"P91";"4-9-91";"P91";0.9154;0.9248;9.39999999999996;583028;565518;620674;589740;62738.2978723407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:1";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";34.5;26.2;7.2;378;0.378;0.0328695652173913;NA;"xx";"4-9-XcRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:2";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";33.2;25.1;7.5;293;0.293;0.0264759036144578;NA;"xx";"4-9-XcRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:3";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.1;32;6.2;180;0.18;0.0199261992619926;NA;"xx";"4-9-XcRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:4";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";41.9;33.1;9.9;688;0.688;0.0492601431980907;NA;"xx";"4-9-XcRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:5";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";38.8;30;9;303;0.303;0.0234278350515464;NA;"xx";"4-9-XcRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:6";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.2;20.9;6.6;153;0.153;0.016875;NA;"xx";"4-9-XcRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:7";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";27.8;24.2;7.5;272;0.272;0.0293525179856115;NA;"xx";"4-9-XcRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
