"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"3-5-15";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";32.4;25.2;9.1;340;0.34;0.0314814814814815;NA;"rd";"3-5-15";"3-5-15";"P15";"3-5-15";"P15";0.9083;0.9211;12.8;176708;230666;215853;207742.333333333;16229.8697916666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-16";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";31.5;25;9.4;336;0.336;0.032;NA;"rd";"3-5-16";"3-5-16";"P16";"3-5-16";"P16";1.109;1.1219;12.8999999999999;327158;328469;330627;328751.333333333;25484.5994832043;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-17";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";34.1;27.8;10.1;454;0.454;0.039941348973607;NA;"rd";"3-5-17";"3-5-17";"P17";"3-5-17";"P17";0.9129;0.9305;17.5999999999999;348765;360740;386365;365290;20755.1136363637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-18";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";34.1;28.3;10.3;414;0.414;0.0364222873900293;NA;"rd";"3-5-18";"3-5-18";"P18";"3-5-18";"P18";0.9203;0.9361;15.8;303477;306795;299378;303216.666666667;19190.9282700421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-19";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";38.1;29;11.1;558;0.558;0.0439370078740157;NA;"rd";"3-5-19";"3-5-19";"P19";"3-5-19";"P19";0.9168;0.9361;19.3000000000001;358717;376902;370898;368839;19110.8290155439;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-20";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";42.6;31.3;12.2;623;0.623;0.0438732394366197;NA;"rd";"3-5-20";"3-5-20";"P20";"3-5-20";"P20";0.9169;0.9325;15.5999999999999;339817;326293;373553;346554.333333333;22215.0213675214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AD3-5-1";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";41.7;30.1;12.7;533;0.533;0.0383453237410072;NA;"th";"AD3-5-1";"AD3-5-1";"1";"AD3-5-1";"1";NA;NA;NA;NA;NA;NA;NA;NA;0.9073;0.9256;0.9112;0.0183;0.0039;0.7868852459;78.68852459;0.9286;0.9432;0.9298;0.0146;0.0012;0.9178082192;91.78082192;33.785
"AD3-5-2";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";38.8;27.4;11.6;440;0.44;0.034020618556701;NA;"th";"AD3-5-2";"AD3-5-2";"2";"AD3-5-2";"2";NA;NA;NA;NA;NA;NA;NA;NA;0.911;0.9237;0.9136;0.0127;0.0026;0.7952755906;79.52755906;1.1;1.1228;1.1054;0.0228;0.0054;0.7631578947;76.31578947;NA
"AD3-5-3";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";38.7;30.7;10.5;426;0.426;0.0330232558139535;NA;"th";"AD3-5-3";"AD3-5-3";"3";"AD3-5-3";"3";NA;NA;NA;NA;NA;NA;NA;NA;0.9283;0.9352;0.9289;0.0069;6e-04;0.9130434783;91.30434783;0.9283;0.9655;0.9361;0.0372;0.0078;0.7903225806;79.03225806;33.905
"AD3-5-4";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";34.5;26.3;10.1;366;0.366;0.0318260869565217;NA;"th";"AD3-5-4";"AD3-5-4";"4";"AD3-5-4";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.1026;1.1338;1.1091;0.0312;0.0065;0.7916666667;79.16666667;NA
